"Compartment","sp","N","r_squared","p_value"
"Aboveground","CG",7,0.463076916742464,0.0924590703771088
"Aboveground","CM",8,0.205021751230212,0.259915941326457
"Aboveground","CS",3,0.450122276815841,0.531806045393212
"Aboveground","DO",4,0.283139065839376,0.467891866403664
"Aboveground","ED",9,0.363151203273272,0.0858844067361894
"Aboveground","HA",8,0.0192789939792472,0.742985197301309
"Aboveground","LH",9,0.0393125201274604,0.609079433510103
"Aboveground","QC",13,0.0988515286875093,0.295459228590359
"Aboveground","QS",5,0.300755608747108,0.33851991730071
"Aboveground","SS",6,0.0565181796686162,0.650114902610018
"Belowground","CG",7,0.0560004849030225,0.609413979431745
"Belowground","CM",8,0.239091727390178,0.218835031791328
"Belowground","CS",3,0.945912871311904,0.149424593989686
"Belowground","DO",4,0.202210935903739,0.550321297031159
"Belowground","ED",9,0.142951870741752,0.315717071628842
"Belowground","HA",8,0.0217133324266964,0.727683808518732
"Belowground","LH",9,0.366268063997889,0.0841932686118943
"Belowground","QC",13,0.0139315792275087,0.700950980113218
"Belowground","QS",5,0.00361002690871892,0.923545365700475
"Belowground","SS",6,0.0141209240664422,0.822591763622494
